コントロールカラム,商品管理番号（商品URL）,商品番号,商品名,倉庫指定,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名
"","crff-99x","CRFF-99X","セラフィット フュージョン 使いこなしセット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-ada","crff-ada","送料無料　セラフィット フュージョン 特別セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【IH対応】【すべーる】【スベール】【cerafit】","1","",""
"","crff-fpn","CRFF-FPN","セラフィット フュージョン　鍋セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【IH対応】【すべーる】【スベール】【cerafit】","1","",""
"","crff-ne4","CRFF-NE4","送料無料＋5,980円相当特典付き！<br>セラフィット フュージョン 10点セット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-ned","CRF-DFAR","セラフィット 万能ドーム蓋<br>【ショップジャパン】【正規品】【北斗晶さん】【cerafit】<br>","0","",""
"","crff-nem","CRFF-5KR","セラフィット フュージョン 片手鍋<br>【単品】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crff-ner","CRFF-NER","セラフィット フュージョン 両手鍋<br>【単品】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crff-new","CRFF-3WA","セラフィット フュージョン 鍋セット<br>※フライパンは付きません<br> 【片手鍋】【両手鍋】【ショップジャパン】【正規品】【すべーる】【スベール】【cerafit】<br>","1","",""
"","crff-nk1","CRFFFPNK","セラフィット フュージョン フライパンなべセット ナイフ付き<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-nr1","CRFF-NW3","セラフィット フュージョン 半額セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","0","",""
"","crff-nw1","CRFFSFDR","セラフィット フュージョン ダブルなべセット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-nw3","CRFF-NW3","セラフィット フュージョン 半額セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-par","CRFFFPNK","セラフィット フュージョン フライパンなべセット ナイフ付き<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-setb","CRFF1180","【わけありセール】セラフィット フュージョン 使いこなしセット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff-wake","CRFF7980","【ワケありセール】セラフィット フュージョン 鍋セット<br>【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crff_1612","","セラフィット フュージョン 特別セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【IH対応】【すべーる】【スベール】【cerafit】","1","",""
"","crff_1712_t","RAK-CRFF","セラフィット フュージョン <br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【スベール】【cerafit】","1","",""
"","crff_btset","","セラフィット フュージョン ベストセット","1","",""
"","crff_ktl","CRFF-KTL","電気ケトル<br>【ショップジャパン（SHOPJAPAN）】<br>","1","",""
"","crff_ma1","USCRFFTA","【モッタイナイ市】【新品同様】セラフィット フュージョン 正規品","1","",""
"","crfffrnb","CRFFFPN1","セラフィット フュージョン フライパンなべセット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crfffrnn","CRFFFPNK","セラフィット フュージョン フライパンなべセット ナイフ付き<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crffnabe","CRFF-990","セラフィット フュージョン フライパンなべセット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","crfp-000","CRFP-000","新セラフィット　セラフィット プレミア(下取りなし)　　90日間保証はショップジャパンだけ！cerafit　正規品【フライパン】【ShopJapan】","1","",""
"","crfp-148","CRFP148R","新セラフィット　セラフィット プレミア IH対応　セラミックフライパン　取っ手が取れる　28cmフライパン　39日間返品保証 cerafit　正規品【フライパン】【ShopJapan】","0","",""
"","crfp-148test","CRFP-111","新セラフィット　セラフィット プレミア　特典付き（片手なべ付き）39日間保証はショップジャパンだけ！cerafit　正規品【フライパン】【ShopJapan】","1","",""
"","crfp-198","CRFP198R","新セラフィット　セラフィット プレミア　特別セット　セラミックフライパン　IH対応　両手鍋　28cmフライパン　39日間保証 cerafit　正規品【フライパン】【ShopJapan】","0","",""
"","crfp-fpn","CRFP-FPN","セラフィット プレミア 深型フライパン 【単品】【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crfp-ktn","CRFP-KTN","セラフィット プレミア 片手なべ ！cerafit　正規品【フライパン】【ShopJapan】","0","",""
"","crfp-ryt","CRFP-RYT","セラフィット プレミア両手鍋<br>【単品】【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crfp-sst","CRFP-SST","新セラフィット　セラフィット　プレミア　特別セット　90日間保証はショップジャパンだけ！正規品　Cerafit【フライパン】【ShopJapan】","1","",""
"","crfp-tmg","CRFP-TMG","セラフィット プレミア 卵焼きフライパン ！cerafit　正規品【フライパン】【ShopJapan】","0","",""
"","crm-ecar","CRM-S0CJ","【正規販売店】コアリズム<br>カルディオジャイブ（DVD）【日本語吹替版】<br>","1","",""
"","crm-ed","CRM80KFX","コアリズム 初心者応援セット（DVD4枚組）<br>【日本語吹替版】<br>","1","",""
"","crm-edt","CRM-MSKF","コアリズム 目指せセクシーくびれセット <br>（DVD 6枚組・サポートマット付）<br>【日本語吹替版】<br>","1","",""
"","crm-ekic","CRM-S0KS","【正規販売店】コアリズム<br>キックスタートガイド（DVD）【日本語吹替版】<br>","1","",""
"","crm-emer","CRM-S0MM","【正規販売店】コアリズム<br>メレンゲマニア（DVD）【日本語吹替版】<br>","1","",""
"","crm-es","CRM-S0SS","【日本語吹替版】コアリズム　サルサ・サンバセット<br>【サルサパーティー（DVD)、サンバフュージョン（DVD）】<br>","1","",""
"","crv-wkms","CRVRSSTK","【ワケありセール】セラビタル 蒸し器セット【スベール】【多機能セラミックなべ】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","0","",""
"","crv-wktn","CRVRSSBS","【ワケありセール】セラビタル【スベール】【多機能セラミックなべ】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","0","",""
"","crystal1","EC-00124","クリスタルガイザー500ml 48本（CRYSTAL GEYSER）[ミネラルウォーター 水 最安値挑戦中 激安]【送料無料】<br>","1","",""
"","cwp-bgsj","CWP-BGSJ","美顔器専用ジェル<br>【正規品】【EMS】【美顔器】<br>","1","",""
"","cwp-nxxx","CWP-NXXX","クリアウェーブPRO<br>【正規品】【EMS】【美顔器】美顔器 超音波美顔器 超音波・イオン導入 プラスイオン マイナスイオン・自宅エステ 複合美顔器  美顔機 多機能美顔器 返品保証　ショップジャパン(SHOP JAPAN)","1","",""
"","daf","DAF-RST1","【送料無料】ドクターハーツ エアジェットフロス 交換用ヘッド付【正規品】【歯ブラシ】<br>歯科医推奨！簡単歯間ケア！【ドクターハーツ】","0","",""
"","daf-2","DAF-RST2","【送料無料】ドクターハーツ エアジェットフロス 2本目無料 交換用ヘッド付【正規品】【歯ブラシ】<br>歯科医推奨！簡単歯間ケア！【ドクターハーツ】","0","",""
"","daf-2-tan","DAF-NET2","【送料無料】ドクターハーツ エアジェットフロス 2本目無料 【正規品】【歯ブラシ】<br>歯科医推奨！簡単歯間ケア！【ドクターハーツ】","0","",""
"","daf-tan","DAF-NET1","【送料無料】ドクターハーツ エアジェットフロス【正規品】【歯ブラシ】<br>歯科医推奨！簡単歯間ケア！【ドクターハーツ】","0","",""
"","deal_crfdx-nabe","CRF-NBDL","セラフィット デラックス 両手鍋セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","deal_crff-nabe","CRFF-NBD","セラフィット フュージョン 両手鍋セット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
"","deal_hpj15","HI12DE15","ヒルズダイエット パステルゼリーアイ 15食セット<br>","1","",""
"","deal_hpj3","HI12SS30","ヒルズダイエット パステルゼリーアイ 3食セット<br>","1","",""
"","deal_hpj30","HI12DE30","ヒルズダイエット パステルゼリーアイ 30食セット<br>","1","",""
"","deal_hpj6","HI12DE06","ヒルズダイエット パステルゼリーアイ 6食セット<br>","1","",""
"","deal_lgmc","LGMCDEPP","レッグマジックサークル美痩せキット<br> 【正規品】【ショップジャパン】<br>","1","",""
"","deal_smn","SMNNRAAT","ソーイング ミニ <br>【コードレス】【ミシン 本体】【簡単】【ショップジャパン】<br>","1","",""
